text,emotion
माझे मन ठीक अनुभवत आहे हे ऐकल्यावर 😐,neutral
खरं सांगायचं तर मी प्रेमाने भरलेला अनुभवत आहे आजच्या घटनेबद्दल ❤️,love
आत्ता मी सामान्य महसूस करत आहे आजच्या घटनेबद्दल 😐,neutral
आत्ता मी चिंताग्रस्त महसूस करत आहे आजच्या घटनेबद्दल 😨,fear
मी दुःखी अनुभवत आहे या क्षणी 😢,sadness
खरं सांगायचं तर मी खूप प्रेम वाटत आहे अनुभवत आहे आजच्या घटनेबद्दल ❤️,love
आत्ता मी प्रेमाने भरलेला वाटत आहे या परिस्थितीबद्दल ❤️,love
खरं सांगायचं तर मी भीती वाटत आहे अनुभवत आहे या परिस्थितीबद्दल 😨,fear
माझे मन खूप आनंदी अनुभवत आहे या क्षणी 😀,joy
आत्ता मी खूप उदास अनुभवत आहे आजच्या घटनेबद्दल 😢,sadness
आत्ता मी ठीक वाटत आहे हे ऐकल्यावर 😐,neutral
माझे मन खूप आनंदी वाटत आहे हे ऐकल्यावर 😀,joy
आज मी आनंदी वाटत आहे या क्षणी 😀,joy
आत्ता मी उत्साहित वाटत आहे हे ऐकल्यावर 😀,joy
आत्ता मी भीती वाटत आहे अनुभवत आहे या परिस्थितीबद्दल 😨,fear
आत्ता मी सामान्य अनुभवत आहे या परिस्थितीबद्दल 😐,neutral
माझे मन भीती वाटत आहे अनुभवत आहे आजच्या घटनेबद्दल 😨,fear
माझे मन रागावलेला वाटत आहे या बातमीमुळे 😡,anger
माझे मन खूप आनंदी महसूस करत आहे या परिस्थितीबद्दल 😀,joy
मी खूप प्रेम वाटत आहे महसूस करत आहे या क्षणी ❤️,love
आत्ता मी भावूक अनुभवत आहे या परिस्थितीबद्दल 😢,sadness
आज मी ठीक महसूस करत आहे आजच्या घटनेबद्दल 😐,neutral
आत्ता मी रागावलेला महसूस करत आहे आजच्या घटनेबद्दल 😡,anger
आत्ता मी आश्चर्यचकित अनुभवत आहे या परिस्थितीबद्दल 😲,surprise
आज मी शांत महसूस करत आहे आजच्या घटनेबद्दल 😐,neutral
खरं सांगायचं तर मी खूप उदास अनुभवत आहे आजच्या घटनेबद्दल 😢,sadness
आत्ता मी सामान्य अनुभवत आहे या क्षणी 😐,neutral
आत्ता मी रागावलेला अनुभवत आहे या क्षणी 😡,anger
मी खूप उदास वाटत आहे हे ऐकल्यावर 😢,sadness
खरं सांगायचं तर मी खूप उदास महसूस करत आहे या क्षणी 😢,sadness
आज मी भावूक अनुभवत आहे या परिस्थितीबद्दल 😢,sadness
आत्ता मी ठीक महसूस करत आहे या बातमीमुळे 😐,neutral
आज मी चिडलेला वाटत आहे या क्षणी 😡,anger
माझे मन धक्का बसलेला महसूस करत आहे हे ऐकल्यावर 😲,surprise
मी खुश अनुभवत आहे या परिस्थितीबद्दल 😀,joy
माझे मन रागावलेला महसूस करत आहे या परिस्थितीबद्दल 😡,anger
आत्ता मी रागावलेला महसूस करत आहे या परिस्थितीबद्दल 😡,anger
मी सामान्य महसूस करत आहे आजच्या घटनेबद्दल 😐,neutral
आज मी खूप प्रेम वाटत आहे महसूस करत आहे या बातमीमुळे ❤️,love
