text,emotion
i get the same feeling gp amp fab but then i always do,joy
i feel stupid that i felt that way about you but i feel even stupider is that even a word,sadness
i cant stop talking even though im already feel weird uncomfortable feeling swarming me but still my mouth keeps saying unnecessary word,fear
i stood before my newly rebuilt bike looking across the field i had to ride feeling very apprehensive,fear
i feel every word of mine is so valuable that i must get paid for it there s plenty of journal maunderings and half finished stories or essays and always will be,joy
i was feeling a little remorseful that even jonathan franzen would hop the in my day bandwagon,sadness
i feel extremely irritable today and i am craving weird foods like green chile which is non existent here in fort collins in its purest form,anger
im not feeling so enamoured with them now as they start their warbling at daybreak and it really is not the most pleasant of birdsongs,joy
i watch the film i feel sympathetic for all the characters,love
i feel better and worse,joy
i knew that ive been nominated by angel i feel so honored,joy
i feel awfully isolated as if i have no one to talk about these things to,sadness
i like super committed like to the point where i feel like i could honestly see myself marrying the person and am not a fan of casual sex or sex without love or any of that does your mate need to be taller than you,joy
i am feeling alarmed now so i need to stop and bring my breathing back to a calm zen like serenity,fear
i feel triumphant for some reason,joy
i don t feel and look like one maybe because i m still single and not very much fond of alcohol and cigarettes,love
i really love reading bible because i can feel the presence of the lord jesus and i feel every single word it says and also amazed on how this and that happened how jesus sacrifice just to save us from our sin and also looking back then on how he created everything in this world,surprise
ive been feeling hopeless and helpless,sadness
i feel like ive pressured her into this so i tell her no,fear
i feel so useless and dont know how to trust people anymore,sadness
i would have just told him how i was feeling maybe the issue could have been resolved and i wouldn t have been so physically uncomfortable,joy
i just feel a bit reluctant to accept the fact that i have to eat ksb very cautiously from now on,fear
i feel so many artistic motivations that is hard to keep them to myself,joy
i am a very different person now much more confident and i feel proud,joy
it was the time i went home for my holidays only to find that my sister had passed away the news had been hidden from me,sadness
im kind of feeling hopeless about the job situation,sadness
i need to change in me is to be even more willing to put myself out there to share and to ask others for help without feelings of guilt or remorse or doubt and without treating those who offer help as slightly suspicious,fear
i feel a bit pathetic but i am lost at the moment,sadness
i gave my all later to regret it and feel the affects but for someone suffering on more of a downward spiral i can only begin to imagine how they may not have passed the test,sadness
i feel pretty pathetic that i have been in therapy for almost three decades and i m still crazy,sadness
i feel very optimistic about this coming season,joy
i feel valued when im with him,joy
ive been feeling so cranky and why so many others around me are so cranky,anger
im emotionally drained my head is lowered although my body is not in the corner rocking back and forth thats how i feel what do you do when someone is too stubborn to love you,anger
i feel really skeptical and scared about this exam not sure if luck will be on my side this time,fear
i am so glad and thankful to feel worm attention of the people and to hear the people say it was delicious,joy
i feel someone or something poses a threat to her and that i dont get angry with her,anger
i always had the feeling that this dream of mine even if popular was not at all useless,joy
i was feeling a bit sceptical,fear
i feel very inspired by my friend and fellow blogger maya s recent sensational photo shoot get in yummy mummy,joy
i hate feeling nothing for the date and defeated in some part of my life,sadness
i know i m not the only one there is a reason why jersey shore and honey boo boo got shows it s so we can all look down on the freaks and feel superior,joy
i took mg wasn t thinking that i took already not mg so i messed up a little here since i am trying to stay at mg or less and now i am feeling really relaxed from a long day,joy
i feel like im a useless person,sadness
i start pulling away the leaves feeling the cool thick soil jamming under my fingernails,joy
i feel the kicks and get reassured by them wiggles is actually in trouble or worse,joy
